Name,Minimum X,Minimum Y,Maximum X,Maximum Y,Coordinate System
Afghanistan,60.549075,29.40106,74.916112,38.401673,WGS 84
Albania,19.291174,39.658327,21.08184,42.665859,WGS 84
Algeria,-8.668257,19.149833,11.981782,36.917518,WGS 84
American Samoa,-170.15314,-14.433602,-169.871949,-14.290644,WGS 84
Andorra,1.427511,42.437628,1.725324,42.66056,WGS 84
Angola,11.756476,-17.952889,23.998623,-4.485261,WGS 84
Anguilla,-63.168392,18.163797,-62.970062,18.276025,WGS 84
Antarctica,-179.9854,-89.901447,180.823514,-63.217987,WGS 84
Antigua & Barbuda,-61.86941,17.010691,-61.667034,17.697112,WGS 84
Argentina,-73.467189,-54.896255,-53.700892,-21.785774,WGS 84
Armenia,42.831859,38.884811,46.898666,41.584887,WGS 84
Aruba (Neth.),-70.063817,12.41301,-69.873769,12.608788,WGS 84
Australia,113.250563,-43.603866,153.6181,-10.785845,WGS 84
Austria,9.523364,46.373063,17.159024,49.021891,WGS 84
Azerbaijan,46.348543,38.451487,50.36539,41.911424,WGS 84
Azores (Port.),-31.274037,36.867311,-24.992022,39.563635,WGS 84
Bahamas,-78.983566,20.94945,-73.000378,26.91634,WGS 84
Bahrain,50.537276,25.958531,50.644797,26.194206,WGS 84
Bangladesh,88.03315,21.183819,92.64679,26.593266,WGS 84
Barbados,-59.651515,13.043594,-59.42763,13.319403,WGS 84
Belarus,23.173782,51.446123,32.276218,55.988959,WGS 84
Belgium,2.551652,49.455844,6.409249,51.502591,WGS 84
Belize,-89.216619,15.899212,-88.099009,18.482662,WGS 84
Benin,0.798536,6.215552,3.731865,12.349347,WGS 84
Bermuda,-64.850651,32.266551,-64.667321,32.383221,WGS 84
Bhutan,88.722755,26.729942,92.109596,28.201065,WGS 84
Bolivia,-69.567114,-22.819126,-57.55075,-9.785378,WGS 84
Bosnia And Herzegovina,15.759241,42.564825,19.619906,45.276424,WGS 84
Botswana,19.998485,-26.819999,29.281941,-17.802917,WGS 84
Brazil,-73.900333,-33.752624,-34.764774,5.23203,WGS 84
British Virgin Islands,-64.783353,18.309078,-64.269756,18.747986,WGS 84
Brunei Darussalam,114.083857,4.048818,115.033883,4.980127,WGS 84
Bulgaria,22.370411,41.226582,28.609764,44.218008,WGS 84
Burkina Faso,-5.518113,9.482445,2.398527,15.082856,WGS 84
Burundi,29.015373,-4.451956,30.815392,-2.335112,WGS 84
Cambodia,102.350248,10.393177,107.550379,14.699872,WGS 84
Cameroon,8.515228,1.765228,16.198596,13.0828,WGS 84
Canada,-140.919389,41.707154,-52.685507,83.115856,WGS 84
Cape Verde,-25.19624,14.877578,-23.501076,16.967692,WGS 84
Cayman Islands,-81.431818,19.264087,-79.732973,19.761612,WGS 84
Central African Republic,14.481915,2.215264,27.448684,10.916001,WGS 84
Chad,13.615205,7.532361,23.998606,23.500245,WGS 84
Chile,-75.667088,-54.878629,-67.000538,-17.50232,WGS 84
Christmas Island,105.570363,-10.61066,105.751788,-10.427361,WGS 84
Cocos (Keeling) Islands,96.867615,-12.510449,96.925946,-12.45387,WGS 84
Colombia,-78.916876,-4.218454,-66.867167,12.332384,WGS 84
Comoros,43.224104,-11.919268,43.482218,-11.435898,WGS 84
Congo,11.165237,-5.018631,18.631945,3.582044,WGS 84
Cook Islands,-166.280045,-21.959182,-157.097397,-10.227686,WGS 84
Costa Rica,-85.8667,8.032158,-82.566788,11.065644,WGS 84
Croatia,13.490138,42.394317,19.445345,46.532969,WGS 84
Cuba,-84.816735,19.916066,-74.20445,23.175174,WGS 84
Cyprus,32.431804,34.63444,34.581826,35.667847,WGS 84
Czech Republic,12.100156,48.553043,18.824783,51.058185,WGS 84
Denmark,8.078722,54.532376,15.124367,57.736031,WGS 84
Djibouti,41.79886,10.999425,43.248882,12.566233,WGS 84
Dominica,-61.467317,15.199215,-61.250654,15.582567,WGS 84
Dominican Republic,-71.933732,17.599306,-68.373542,19.912515,WGS 84
Ecuador,-91.499896,-5.001821,-75.216964,1.431823,WGS 84
Egypt,24.8818,21.750279,35.732009,31.660169,WGS 84
El Salvador,-90.099929,13.165746,-87.833317,14.432476,WGS 84
Equatorial Guinea,8.498565,0.998497,11.348574,3.808315,WGS 84
Eritrea,36.340432,12.265455,42.94887,18.000012,WGS 84
Estonia,22.004802,57.871956,27.91227,59.593791,WGS 84
Ethiopia,33.032077,3.498735,47.98231,14.498514,WGS 84
Falkland Islands,-60.867704,-52.302029,-57.734476,-51.28542,WGS 84
Fiji,177.33092,-18.257589,179.868164,-16.269354,WGS 84
Finland,19.455606,59.78219,31.588189,70.103961,WGS 84
Fmr Yug Rep Macedonia,20.462041,40.864203,23.035621,42.337389,WGS 84
France,-4.773028,41.342976,9.578527,51.093939,WGS 84
French Guiana,-54.600776,2.165203,-51.684171,5.715398,WGS 84
French Polynesia,-151.544482,-17.79071,-149.227163,-16.673317,WGS 84
French Southern & Antarctic Is,77.514199,-37.905848,77.606799,-37.772281,WGS 84
Gabon,8.715393,-3.951884,14.481922,2.165257,WGS 84
Gambia,-16.751392,13.065959,-13.868082,13.782679,WGS 84
Georgia,39.255398,41.431389,47.185591,43.991494,WGS 84
Germany,5.879639,47.275167,15.043212,55.047271,WGS 84
Ghana,-3.218107,4.798769,1.198551,11.132577,WGS 84
Gibraltar,-5.360412,36.111723,-5.342609,36.159026,WGS 84
Greece,19.617897,34.876716,28.227566,41.718773,WGS 84
Greenland,-72.668441,60.016808,-12.159515,83.532879,WGS 84
Grenada,-61.790351,11.995439,-61.572856,12.322124,WGS 84
Guadeloupe,-61.836385,15.847623,-61.117066,16.463162,WGS 84
Guam,144.667832,13.249619,144.951177,13.599647,WGS 84
Guatemala,-92.249874,13.74911,-88.216645,17.815967,WGS 84
Guernsey,-2.712775,49.387057,-2.482631,49.544038,WGS 84
Guinea,-15.034727,7.282263,-7.734764,12.682617,WGS 84
Guinea Bissau,-16.718055,10.94916,-13.71808,12.682617,WGS 84
Guyana,-61.333964,1.331822,-56.467404,8.532207,WGS 84
Haiti,-74.483669,18.049327,-71.738279,19.933495,WGS 84
Honduras,-89.349948,12.982405,-83.133441,15.956682,WGS 84
